id,tweet_url,created_at,parsed_created_at,user_screen_name,text,tweet_type,coordinates,hashtags,media,urls,favorite_count,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_or_quote_id,retweet_or_quote_screen_name,retweet_or_quote_user_id,source,user_id,user_created_at,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_statuses_count,user_time_zone,user_urls,user_verified
1348227190656098307,https://twitter.com/b2Gr8/status/1348227190656098307,Sun Jan 10 11:16:25 +0000 2021,2021-01-10 11:16:25+00:00,b2Gr8,@Tea_earte 天才なのでてぃさんにもお届け参りますっ！！このビーゴーイーツが！！,reply,,,,,0,Tea_earte,1348226207620337669,1302151645543854080,ja,,,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1264309021,Wed Mar 13 12:05:21 +0000 2013,False,声真似主さん好き！/サブ(@b_2G_r8),107653,710,488,7,,ビゴリ,118678,,,False
1348228133728579590,https://twitter.com/b2Gr8/status/1348228133728579590,Sun Jan 10 11:20:10 +0000 2021,2021-01-10 11:20:10+00:00,b2Gr8,"@Tea_earte うおおお！！！！十分すぎますよっっ！！！！！！！
ついでにディズニーではしゃぐキャンペーンはいかがでしょうか！！？！？",reply,,,,,0,Tea_earte,1348227363998351362,1302151645543854080,ja,,,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1264309021,Wed Mar 13 12:05:21 +0000 2013,False,声真似主さん好き！/サブ(@b_2G_r8),107653,710,488,7,,ビゴリ,118678,,,False
1348230313307115520,https://twitter.com/b2Gr8/status/1348230313307115520,Sun Jan 10 11:28:50 +0000 2021,2021-01-10 11:28:50+00:00,b2Gr8,"@Tea_earte このキャンペーンはビーゴーイーツを利用してくれたてぃさんには適用ですよ〜！！！！！
いきましょっ✊✊✊✊✊✊",reply,,,,,1,Tea_earte,1348228325903192067,1302151645543854080,ja,,,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1264309021,Wed Mar 13 12:05:21 +0000 2013,False,声真似主さん好き！/サブ(@b_2G_r8),107653,710,488,7,,ビゴリ,118678,,,False
1348234103393460227,https://twitter.com/b2Gr8/status/1348234103393460227,Sun Jan 10 11:43:53 +0000 2021,2021-01-10 11:43:53+00:00,b2Gr8,ビゴさんかわいい。 https://t.co/W52YJBAF0L,retweet,,,https://pbs.twimg.com/media/ErXjiyUU0AA7TjA.jpg,,6,,,,ja,,False,1,1348233855694643202,Tea_earte,1302151645543854080,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1264309021,Wed Mar 13 12:05:21 +0000 2013,False,声真似主さん好き！/サブ(@b_2G_r8),107653,710,488,7,,ビゴリ,118678,,,False
1348236527294316548,https://twitter.com/arashi_091510/status/1348236527294316548,Sun Jan 10 11:53:31 +0000 2021,2021-01-10 11:53:31+00:00,arashi_091510,"@____stk1022 @Tea_earte てぃさんPUBGしてるから
つ、強いもんね、、！",reply,,,,,1,____stk1022,1348210283433447424,3998131632,ja,,,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1226311526845276160,Sun Feb 09 01:07:41 +0000 2020,False,てぃさんがすき,1218,55,74,2,,りょう,1413,,,False
1348273436280320001,https://twitter.com/erina__ab_/status/1348273436280320001,Sun Jan 10 14:20:11 +0000 2021,2021-01-10 14:20:11+00:00,erina__ab_,@Tea_earte てぃさんかあいい,reply,,,,,0,Tea_earte,1348272369488457733,1302151645543854080,ja,,,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",833200140991156226,Sun Feb 19 06:22:48 +0000 2017,False,あぱぱぱぱぱぱぱぱぱぱ@hrk7aui @MainasuCat,6974,61,80,2,えりなこかるる,えりな is ぽたと🐆,7775,,,False
1348274174062514183,https://twitter.com/arashi_091510/status/1348274174062514183,Sun Jan 10 14:23:07 +0000 2021,2021-01-10 14:23:07+00:00,arashi_091510,@Tea_earte 倒してきたやだ。,reply,,,,,0,Tea_earte,1348272369488457733,1302151645543854080,ja,,,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1226311526845276160,Sun Feb 09 01:07:41 +0000 2020,False,てぃさんがすき,1218,55,74,2,,りょう,1413,,,False
1348300236133814273,https://twitter.com/OTAKA96438403/status/1348300236133814273,Sun Jan 10 16:06:41 +0000 2021,2021-01-10 16:06:41+00:00,OTAKA96438403,@Tea_earte てぃさんやだぁ,reply,,,,,1,Tea_earte,1348272369488457733,1302151645543854080,ja,,,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1300999909345079296,Wed Sep 02 03:32:40 +0000 2020,False,競馬 /タウロス専門絵師/👺/🫐,637,38,83,0,,🫐OTAKA@中山男🫐,1366,,,False
1348301112646909954,https://twitter.com/yomogimoRi/status/1348301112646909954,Sun Jan 10 16:10:10 +0000 2021,2021-01-10 16:10:10+00:00,yomogimoRi,@Tea_earte てぃさんかわいかった,reply,,,,,0,Tea_earte,1348272369488457733,1302151645543854080,ja,,,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1288068915382255617,Tue Jul 28 11:09:59 +0000 2020,False,お絵かきとじゃがいもとホラーと映画とコスメ好き。 ジャンル問わず呟きます。,9041,95,159,2,,モリ,3229,,,False
1348323234404556801,https://twitter.com/carniely_/status/1348323234404556801,Sun Jan 10 17:38:04 +0000 2021,2021-01-10 17:38:04+00:00,carniely_,Ai gente faltam 3 semanas pro earte voltar e eu já estou sofrendo por antecipação,original,,,,,2,,,,pt,,,1,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",778645392133160960,Wed Sep 21 17:21:43 +0000 2016,False,gatinha carente e arisca,5741,418,411,0,"Vitória, Brasil",yas,15434,,https://curiouscat.me/carniely_,False
1348324565001363462,https://twitter.com/bxtrz_honorato/status/1348324565001363462,Sun Jan 10 17:43:21 +0000 2021,2021-01-10 17:43:21+00:00,bxtrz_honorato,Ai gente faltam 3 semanas pro earte voltar e eu já estou sofrendo por antecipação,retweet,,,,,2,,,,pt,,,1,1348323234404556801,carniely_,778645392133160960,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",877277991491035138,Tue Jun 20 21:32:27 +0000 2017,False,"19y, Ciências Sociais - UFES | @vascodagama | 火の意志 | Fonte: vozes da minha cabeça",23169,543,442,0,027,𝔓𝔯𝔦𝔫𝔠𝔢𝔰𝔞 𝔗𝔰𝔲𝔫𝔞𝔡𝔢,35310,,https://www.instagram.com/bxtrz_honorato,False
1348381205910024195,https://twitter.com/____stk1022/status/1348381205910024195,Sun Jan 10 21:28:25 +0000 2021,2021-01-10 21:28:25+00:00,____stk1022,"@Tea_earte がんばれてぃしゃあん、
いってらっしゃいですっ待ってますねん👋🏻！",reply,,,,,0,Tea_earte,1348380771216621569,1302151645543854080,ja,,,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",3998131632,Sat Oct 24 03:48:13 +0000 2015,False,𝐓𝐞𝐚 𝐭𝐢𝐦𝐞 ∽ 𖠚ᐝ❤︎,35614,85,101,4,𝐋𝐞𝐯𝐢 𝐀𝐜𝐤𝐞𝐫𝐦𝐚𝐧 ,"サ ツ キ ,",9372,,,False
1348384304586375170,https://twitter.com/arashi_091510/status/1348384304586375170,Sun Jan 10 21:40:44 +0000 2021,2021-01-10 21:40:44+00:00,arashi_091510,"@Tea_earte てぃさん！！頑張って〜！！
気をつけてくださいねっ",reply,,,,,0,Tea_earte,1348380771216621569,1302151645543854080,ja,,,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1226311526845276160,Sun Feb 09 01:07:41 +0000 2020,False,てぃさんがすき,1218,55,74,2,,りょう,1413,,,False
1348385825017327617,https://twitter.com/____stk1022/status/1348385825017327617,Sun Jan 10 21:46:47 +0000 2021,2021-01-10 21:46:47+00:00,____stk1022,"@Tea_earte 朝からてぃしゃんの声聞けて幸せいっぱい！
夜までねるう🗿",reply,,,,,0,Tea_earte,1348381975095087106,1302151645543854080,ja,,,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",3998131632,Sat Oct 24 03:48:13 +0000 2015,False,𝐓𝐞𝐚 𝐭𝐢𝐦𝐞 ∽ 𖠚ᐝ❤︎,35614,85,101,4,𝐋𝐞𝐯𝐢 𝐀𝐜𝐤𝐞𝐫𝐦𝐚𝐧 ,"サ ツ キ ,",9372,,,False
1348390870018453504,https://twitter.com/tkns_0325/status/1348390870018453504,Sun Jan 10 22:06:49 +0000 2021,2021-01-10 22:06:49+00:00,tkns_0325,@Tea_earte てぃさん頑張って!!!,reply,,,,,0,Tea_earte,1348380771216621569,1302151645543854080,ja,,,0,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1299706213580505089,Sat Aug 29 13:51:54 +0000 2020,False,"【よく考えるバカ】
趣味はカメラ。一応ある程度の常識はあり。",19009,92,224,1,ジョシ・ダンシ・タケシ,・タケシ・,8021,,,False
1348398532328263680,https://twitter.com/b2Gr8/status/1348398532328263680,Sun Jan 10 22:37:16 +0000 2021,2021-01-10 22:37:16+00:00,b2Gr8,@Tea_earte てぃさん行ってらっしゃい！！！！💕💕💕💕,reply,,,,,0,Tea_earte,1348380771216621569,1302151645543854080,ja,,,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1264309021,Wed Mar 13 12:05:21 +0000 2013,False,声真似主さん好き！/サブ(@b_2G_r8),107653,710,488,7,,ビゴリ,118678,,,False
